frase_original;frase_adaptada;semanticamente_similares
El libro fue escrito por mi amigo.;Mi amigo escribió el libro.;SI
El libro fue escrito por mi amigo.;El artículo fue escrito por el periodista.;NO
El libro fue escrito por mi amigo.;Mi tío escribió el libro;NO
El libro fue escrito por Juan Gómez.;Juan Gómez escribió el libro.;SI
El libro fue escrito por Juan Gómez.;El artículo fue escrito por Juan Gómez.;NO
La casa fue construida en 1905 por mi bisabuelo;Mi bisabuelo construyó la casa en 1905;SI
La comida fue preparada por el chef famoso;El chef famoso preparó la comida;SI
El coche fue vendido por el concesionario;El concesionario vendió el coche;SI
La película fue dirigida por el famoso cineasta;La película fue dirigida por el famoso cineasta;SI
El jardín fue regado por el jardinero;La dueña del jardín regó sus plantas y flores;NO
El cuadro fue pintado por el artista famoso;El cuadro fue vendido en una subasta a un precio elevado;NO
Los billetes de avión fueron comprados por internet;Los billetes de avión fueron comprados en una agencia de viajes;NO
La carta fue enviada por correo postal;La carta nunca llegó a su destino;NO
El libro fue escrito por el autor más vendido de la editorial;La editorial publicó el libro más vendido del autor;SI
El pastel fue horneado por mi abuela.;Mi abuela horneó el pastel.;SI
El pastel fue horneado por mi abuela.;El pastel fue comido por mi hermano.;NO
La mesa fue hecha por el carpintero.;El carpintero hizo la mesa.;SI
La mesa fue hecha por el carpintero.;La silla fue hecha por el carpintero.;NO
La música fue compuesta por el músico famoso.;El músico famoso compuso la música.;SI
La música fue compuesta por el músico famoso.;La música fue interpretada por la orquesta.;NO
El jarrón fue roto por el gato.;El gato rompió el jarrón.;SI
El jarrón fue roto por el gato.;El jarrón fue pegado por mi madre.;NO
La prueba fue corregida por el profesor.;El profesor corrigió la prueba.;SI
La prueba fue corregida por el profesor.;La prueba fue suspendida por la mayoría de los estudiantes.;NO
La conferencia fue dada por el experto.;El experto dio la conferencia.;SI
La conferencia fue dada por el experto.;La conferencia fue asistida por muchos estudiantes.;NO
El mural fue pintado por el artista.;El artista pintó el mural.;SI
El mural fue pintado por el artista.;El mural fue admirado por los visitantes.;NO
Tengo que ir al supermercado después del trabajo;Después del trabajo, debo ir al supermercado;SI
Estoy pensando en comprar un coche nuevo;Estoy considerando comprar un coche nuevo;SI
Él acaba de salir de la universidad y está buscando trabajo; Él está en búsqueda de trabajo después de salir de la universidad;SI
Vamos a tener que empezar a ahorrar si queremos ir de vacaciones;Si queremos ir de vacaciones, tendremos que comenzar a ahorrar;SI
Me gustaría poder viajar más a menudo;Quisiera tener la oportunidad de viajar más seguido;SI
Voy a ir al cine esta noche con mis amigos;No tengo planes para esta noche;NO
Tiene que hacer la tarea antes de cenar.;Antes de cenar, debe hacer la tarea.;SI
Estoy deseando ver la nueva película.;Tengo ganas de ver la nueva película.;SI
Está por llover, lleva el paraguas.;Lleva el paraguas, se va a llover.;SI
Quiero ir a la playa este fin de semana.;Me gustaría ir a la playa este fin de semana.;SI
Estoy pensando en adoptar un perro.;Estoy considerando adoptar un perro.;SI
Deberíamos empezar a estudiar para el examen.;Tenemos que estudiar para el examen.;SI
Vamos a tener que levantarnos temprano para el viaje.;Para el viaje, tendremos que despertar temprano.;SI
Estoy planeando hacer una fiesta sorpresa para mi mejor amigo.;Estoy organizando una fiesta sorpresa para mi mejor amigo.;SI
Debes apurarte si no quieres llegar tarde.;Si no quieres llegar tarde, necesitas apresurarte.;SI
Estoy considerando comprar un nuevo teléfono.;Estoy pensando en comprar un teléfono nuevo.;SI
Estoy deseando ver la nueva película.;Voy a ver una serie en casa.;NO
Quiero ir a la playa este fin de semana.;Voy a visitar a mi abuela este fin de semana.;NO
Estoy pensando en adoptar un perro.;Voy a comprar un gato.;NO
Deberíamos empezar a estudiar para el examen.;Vamos a jugar videojuegos toda la noche.;NO
Estoy planeando hacer una fiesta sorpresa para mi mejor amigo.;Estoy planeando un viaje a la montaña.;NO
"Pedro es muy estudioso; siempre saca las mejores notas";Pedro es muy estudioso. Por eso siempre saca las mejores notas.;SI
Lucía es muy amable, todos quieren ser su amigo;Lucía es muy amable. Por eso, todos quieren ser su amigo.;SI
"Fuimos al cine; había una buena película";Fuimos al cine porque había una buena película.;SI
Marta no vino a la reunión, estaba cansada;Marta no vino a la reunión porque estaba cansada.;SI
Los niños juegan en el parque, los adultos conversan en las bancas;Los niños juegan en el parque. Mientras tanto, los adultos conversan en las bancas.;SI
Ven a mi casa, tenemos que estudiar para el examen;Ven a mi casa para que podamos estudiar para el examen.;SI
Termina tus deberes, luego podrás jugar;Termina tus deberes. Después podrás jugar.;SI
Vamos en bicicleta, es un día precioso;Vamos en bicicleta porque es un día precioso.;SI
La lavadora no arranca, llamaré al técnico;La lavadora no arranca. Por eso, llamaré al técnico.;SI
El coche se averió, tuvimos que llamar a la grúa;El coche se averió. Por eso, tuvimos que llamar a la grúa.;SI
"Voy a la biblioteca; necesito un libro para la tarea";Voy a la biblioteca porque necesito un libro para la tarea.;SI
El fin de semana iré a visitarte, quédate en tu casa.;El fin de semana iré a visitarte. Por eso, quédate en tu casa.;SI
Josefina es una persona muy activa, todos la quieren en su equipo.;Josefina es una persona muy activa. Por eso, todos la quieren en su equipo.;SI
"Fui a la casa de Mariana; me había invitado el domingo.";Fui a la casa de Mariana. Mariana me había invitado el domingo.;SI
Andrea no fue a la clase, su hermana estaba enferma;Andrea no fue a la clase porque su hermana estaba enferma.;SI
Los pájaros pían desde los árboles, los gatos maúllan desde las ventanas.;Los pájaros pían desde los árboles. Y los gatos maúllan desde las ventanas.;SI
Ven conmigo, te enseñaré la biblioteca.;Ven conmigo y te enseñaré la biblioteca.;SI
Acaba la tarea, lo primero es lo primero.;Acaba la tarea porque lo primero es lo primero.;SI
Vamos a pie, tengo que hacer ejercicio.;Vamos a pie porque tengo que hacer ejercicio.;SI
La moto no funciona, llama a un técnico.;La moto no funciona. Por eso, llama a un técnico.;SI
"Pedro es muy estudioso; siempre saca las mejores notas";"Pedro es muy estudioso; siempre obtiene los mejores resultados";NO
Lucía es muy amable, todos quieren ser su amigo;Lucía es muy amable, todos desean hablar con ella;NO
"Fuimos al cine; había una buena película";"Fuimos al cine; estaba proyectando una película famosa";NO
Marta no vino a la reunión, estaba cansada;Marta no asistió a la reunión, estaba ocupada;NO
Los niños juegan en el parque, los adultos conversan en los bancos;Los niños juegan en el parque, los adultos se sientan en los bancos;NO
Ven a mi casa, tenemos que estudiar para el examen;Ven a mi casa, necesitamos estudiar para aprobar;NO
Termina tus deberes, luego podrás jugar;Termina tus deberes, luego jugaremos;NO
Vamos en bicicleta, hace un día espectacular;Vamos en bicicleta, hace sol;NO
La lavadora no arranca, llamaré al técnico;La lavadora no lava bien, llamaré al técnico;NO
El coche se averió, tuvimos que llamar a la grúa;El coche se averió, el seguro llamó a una grúa;NO
Juan compró una casa, la cual está ubicada en el centro de la ciudad, y la decoró con muebles modernos y coloridos;Juan compró una casa. La casa está ubicada en el centro de la ciudad. Juan decoró la casa con muebles modernos y coloridos.;SI
Los niños jugaron en el parque, corrieron por el pasto y se divirtieron en los columpios durante toda la tarde.;Los niños jugaron en el parque. Los niños corrieron por el pasto y los niños se divirtieron en los columpios durante toda la tarde.;SI
Aunque estaba cansado, el atleta siguió corriendo, saltando y sufriendo hasta que llegó a la meta.;Aunque el atleta estaba cansado, el atleta corrió, saltó y sufrió hasta que llegó a la meta.;SI
